Nr.,Anrede,Titel,Vorname,Nachname,Geburtsdatum,Straße,PLZ,Stadt,Telefon,Mobil,Telefax,E-Mail,Newsletter
1, Herr ,, Carlo , Barilovic , 9.12.1942 , Agrippastr. 120 ,74177, Bad Friedrichshall , 07136 / 15330021 , 0166 / 5405190 , 07136 / 56330496 , c.barilovic@mail.xyz , ja
2, Frau , Dr. , Mariella , Buchner , 16.11.1923 , Werkstattstr. 171 ,86926, Greifenberg , 08192 / 54591823 , 0154 / 1495072 , 08192 / 31070751 , m.buchner@mail.xyz , ja
3, Herr ,, Ruben , Kaplan , 8.1.1949 , Oberschlesier Str. 181 ,56479, Rehe , 02664 / 45849887 , 0156 / 3422100 , 02664 / 94494106 , r.kaplan@mail.xyz , ja
4, Herr ,, Louis , Morton , 12.2.1941 , Von-der-Tinnen-Str. 85 ,48488, Emsbären , 05903 / 61251033 , 0165 / 4150125 , 05903 / 57748169 , l.morton@mail.xyz , ja
5, Frau ,, Larissa , Hilbig , 26.1.1924 , Mariendorfer Str. 3 ,29588, Oetzen , 05805 / 87686625 , 0179 / 7548020 , 05805 / 15693849 , l.hilbig@mail.xyz , ja
6, Frau ,, Leonie , Finkenzeller , 16.6.1922 , Fresnostr. 143 ,27318, Hoyerhagen , 04251 / 26093967 , 0158 / 2180605 , 04251 / 43600156 , l.finkenzeller@mail.xyz , ja
7, Frau ,, Saskia , Curry , 3.1.1980 , Uhuweg 51 ,86865, Markt Wald , 08262 / 74435219 , 0167 / 9041015 , 08262 / 55523663 , s.curry@mail.xyz , ja
8, Herr ,, Mathias , Bishop , 5.12.1990 , Gildenstr. 73 ,91096, Mührendorf , 09131 / 98840634 , 0174 / 3643929 , 09131 / 8180539 , mathias.bishop@mail.xyz , ja
9, Herr ,, Colin , Caspari , 16.2.1973 , Erikahof 91 ,66882, Hätschenhausen , 06372 / 59120313 , 0160 / 7890723 , 06372 / 56968329 , colin.caspari@mail.xyz , ja
10, Herr ,, Michel , Remondis , 5.11.1988 , Dorbaumstr. 159 ,29596, Stadensen , 05802 / 92910160 , 0156 / 9117659 , 05802 / 58582926 , michel.remondis@mail.xyz , ja
11, Herr ,, Torsten , Bennett , 16.8.1969 , Dauvemühle 74 ,25785, Odderade , 04832 / 64026409 , 0163 / 1310671 , 04832 / 82148882 , torsten.bennett@mail.xyz , ja
12, Frau ,, Silke , Wehr , 2.1.1981 , Rosenplatz 38 ,47799, Krefeld , 02151 / 9544597 , 0156 / 3074744 , 02151 / 52177706 , silke.wehr@mail.xyz , ja
13, Herr ,, Timon , Seybold , 15.1.1985 , Werseblick 158 ,23619, Mänkhagen , 04533 / 30696831 , 0162 / 2361361 , 04533 / 29101412 , t.seybold@mail.xyz , ja
14, Herr , Prof. , Damian , Kallweit , 3.9.1972 , Wolbecker Str. 31 ,34130, Kassel , 0561 / 94483917 , 0167 / 9869637 , 0561 / 57065474 , d.kallweit@mail.xyz , ja
15, Frau ,, Jill , Böhm , 7.6.1921 , Klinkkampweg 156 ,86694, Niederschönenfeld , 09090 / 61279755 , 0153 / 4049363 , 09090 / 15891213 , j.boehm@mail.xyz , ja
16, Frau ,, Fabienne , Rhodes , 12.2.1994 , Hindenburgplatz 11a ,76889, Niederhorbach , 06343 / 52812029 , 0156 / 2102632 , 06343 / 48255067 , fabienne.rhodes@mail.xyz , ja
